rank, rank_change, rider_name, team, nationality, PCS_points, PCS_points_change, UCI_points, one_day_race, GC, TT, Sprint, Climber, age, height, weight, year_wins, all_year_wins, all_year_GT, all_classics, years_active, race_km, race_days
596, 2, Cieślik Paweł, Voster ATS Team, Poland, 63, 61, 102, 96, 507, 96, 616, 206, 35, 1.76, 65, 0, 0, 0, 0, 16, 7240, 53
597, 2, Riabushenko Alexandr, UAE-Team Emirates, Belarus, 63, -85, 38, 482, 89, 6, 423, 130, 26, 1.78, 61, 0, 1, 1, 2, 7, 6329, 43
598, 2, Hollmann Juri, Movistar Team, Germany, 63, 48, 29, 38, 57, 135, 3, 24, 22, 1.85, 70, 0, 0, 0, 3, 4, 7947, 49
599, -15, Liepiņš Emīls, Trek - Segafredo, Latvia, 62, -23, 83, 456, 222, 162, 1461, 50, 29, 1.75, 67, 0, 2, 1, 1, 11, 8011, 49
600, 1, Auer Daniel, WSA KTM Graz, Austria, 62, -19, 101, 105, 18, 48, 585, 14, 27, 1.83, 73, 3, 1, 0, 0, 6, 4429, 33
601, 1, Angulo Antonio, Euskaltel - Euskadi, Spain, 62, 33, 74, 40, 47, 1, 88, 66, 29,  ,  , 0, 0, 0, 0, 7, 10115, 62
602, 1, Lemoine Cyril, B&B Hotels p/b KTM, France, 62, 24, 78, 700, 828, 956, 1022, 106, 38, 1.82, 73, 0, 0, 10, 30, 19, 7212, 43
603, 1, Serry Pieter, Deceuninck - Quick Step, Belgium, 62, -11, 32, 1053, 746, 220, 666, 932, 33, 1.86, 66, 0, 0, 12, 15, 12, 8183, 52
604, 2, Heiduk Kim, Team Lotto - Kern Haus, Germany, 62, 62, 201, 4, 47, 5, 25, 6, 21,  ,  , 2, 0, 0, 0, 1, 4775, 37
605, 2, Gruzdev Dmitriy, Astana - Premier Tech, Kazakhstan, 61, 26, 0, 261, 696, 753, 305, 26, 35, 1.85, 78, 0, 8, 8, 17, 15, 9159, 59
606, 2, Mullen Ryan, Trek - Segafredo, Ireland, 61, 38, 150, 155, 130, 1072, 27, 0, 27, 1.89, 77, 2, 9, 1, 10, 9, 8200, 57
607, 2, Nys Thibau, Baloise - Trek Lions, Belgium, 61, 61, 245, 60, 0, 0, 19, 3, 19, 1.76, 64, 1, 0, 0, 0, 1, 1621, 11
608, 2, Lienhard Fabian, Groupama - FDJ, Switzerland, 60, -18, 20, 544, 86, 27, 737, 98, 28, 1.82, 73, 0, 0, 0, 2, 9, 9114, 58
609, 2, Mas Lluís, Movistar Team, Spain, 60, 43, 74, 141, 356, 251, 330, 208, 32, 1.81, 69, 0, 1, 6, 8, 13, 8593, 53
610, 2, King Ben, Rally Cycling, United States, 60, 20, 50, 233, 425, 351, 211, 562, 32, 1.83, 68, 1, 6, 8, 10, 12, 6866, 45
611, 2, Ries Michel, Trek - Segafredo, Luxembourg, 60, 15, 80, 56, 80, 25, 3, 37, 23, 1.84, 67, 0, 0, 1, 2, 4, 7549, 50
612, -24, Morin Emmanuel, Cofidis Solutions Crédits, France, 60, -106, 88, 91, 70, 0, 215, 12, 26, 1.78, 72, 0, 0, 2, 1, 2, 7339, 50
613, 1, Finetto Mauro, DELKO, Italy, 59, -28, 59, 2156, 1139, 229, 1826, 982, 36, 1.77, 62, 0, 10, 3, 9, 18, 4793, 30
614, 2, Planckaert Edward, Alpecin-Fenix, Belgium, 59, -47, 36, 461, 67, 18, 662, 18, 26, 1.75, 67, 1, 1, 1, 4, 6, 8184, 50
615, 2, Galván Francisco, Equipo Kern Pharma, Spain, 59, 40, 92, 38, 27, 13, 50, 76, 23, 1.76, 71, 0, 0, 0, 0, 2, 8285, 54
616, -11, Samitier Sergio, Movistar Team, Spain, 59, -94, 43, 23, 234, 0, 3, 156, 26, 1.81, 63, 0, 0, 2, 0, 3, 7572, 50
617, 1, Juntunen Antti-Jussi, Ampler Development Team, Finland, 59, 34, 127, 36, 36, 33, 94, 4, 22,  ,  , 1, 1, 0, 0, 3, 5845, 40
618, 1, Niv Guy, Israel Start-Up Nation, Israel, 59, 22, 8, 16, 139, 55, 3, 35, 27, 1.68, 58, 1, 1, 5, 2, 4, 11818, 75
619, 1, Devriendt Tom, Intermarché - Wanty - Gobert Matériaux, Belgium, 58, 9, 95, 562, 26, 30, 574, 37, 30, 1.76, 70, 0, 2, 0, 8, 11, 4860, 33
620, 1, Wiśniowski Łukasz, Team Qhubeka NextHash, Poland, 58, 22, 43, 509, 264, 299, 426, 52, 29, 1.81, 78, 0, 0, 4, 11, 9, 9984, 61
621, 1, Quintero Carlos,  , Colombia, 58, -32, 113, 243, 311, 79, 288, 306, 35, 1.78, 63, 2, 1, 3, 6, 16, 1912, 16
622, 1, Zabel Rick, Israel Start-Up Nation, Germany, 58, -36, 23, 554, 286, 51, 1192, 111, 27, 1.84, 75, 0, 2, 7, 10, 10, 11101, 72
623, 1, Guglielmi Simon, Groupama - FDJ, France, 58, 6, 17, 42, 74, 3, 72, 81, 24, 1.8, 66, 0, 0, 2, 1, 6, 9231, 56
624, 1, Bostock Matthew, Canyon dhb SunGod, Great Britain, 58, 51, 95, 74, 55, 5, 104, 0, 24, 1.83, 69, 0, 0, 0, 0, 5, 3770, 22
625, 1, Otruba Jakub, Elkov - Kasper, Czech Republic, 58, -11, 102, 24, 114, 49, 88, 50, 23, 1.9, 75, 0, 0, 0, 0, 4, 7386, 54
626, 1, Hvideberg Jonas Iversby, Uno-X Pro Cycling Team, Norway, 57, 19, 76, 100, 2, 2, 14, 12, 22,  ,  , 1, 0, 0, 0, 4, 6393, 44
627, 1, Mannion Gavin, Rally Cycling, United States, 57, -41, 81, 61, 653, 477, 342, 387, 30, 1.75, 58, 0, 2, 0, 0, 12, 8294, 54
628, 1, Devenyns Dries, Deceuninck - Quick Step, Belgium, 57, -306, 34, 1545, 1768, 733, 942, 1174, 38, 1.77, 65, 0, 7, 12, 25, 16, 10523, 68
629, 1, Wallays Jelle, Cofidis Solutions Crédits, Belgium, 57, 39, 29, 1126, 574, 150, 1029, 104, 32, 1.85, 77, 0, 8, 5, 12, 13, 9191, 56
630, 1, Gougeard Alexis, AG2R Citroën Team, France, 57, 7, 35, 532, 590, 538, 532, 274, 28, 1.76, 70, 0, 11, 6, 9, 10, 9183, 60
631, 1, Ferasse Thibault, B&B Hotels p/b KTM, France, 57, 52, 92, 252, 111, 46, 167, 66, 27, 1.68, 61, 0, 1, 0, 0, 7, 8645, 54
632, 1, Madsen Martin Toft, BHS - PL Beton Bornholm, Denmark, 57, 50, 105, 15, 0, 974, 49, 3, 36, 1.84, 67, 0, 6, 0, 0, 7, 762, 7
633, 2, Power Robert, Team Qhubeka NextHash, Australia, 57, -49, 46, 638, 258, 64, 78, 354, 26, 1.84, 68, 0, 2, 3, 6, 8, 5808, 38
634, 2, Van Poucke Aaron, Sport Vlaanderen - Baloise, Belgium, 57, 28, 43, 103, 20, 0, 74, 34, 23, 1.77, 68, 0, 0, 0, 3, 4, 8698, 53
635, -20, Roux Anthony, Groupama - FDJ, France, 56, -38, 14, 1378, 1113, 1059, 1696, 683, 34, 1.88, 73, 0, 16, 14, 23, 15, 6764, 43
636, 1, Huppertz Joshua, Team Lotto - Kern Haus, Germany, 56, 42, 63, 148, 14, 25, 278, 7, 27, 1.74, 66, 1, 1, 0, 0, 7, 4509, 30
637, 1, Colleoni Kevin, Team BikeExchange, Italy, 56, 16, 63, 64, 56, 7, 15, 29, 22,  ,  , 0, 0, 0, 1, 3, 7429, 48
638, 1, Thompson Reuben, Equipe continentale Groupama-FDJ, New Zealand, 56, 56, 71, 0, 47, 2, 2, 6, 20, 1.84, 62, 1, 0, 0, 0, 1, 7709, 56
639, 1, Moreno Adrià, Team Vorarlberg, Spain, 55, 49, 63, 34, 33, 5, 52, 59, 30, 1.76, 59, 0, 0, 0, 0, 5, 5102, 39
640, 2, Visconti Giovanni, Bardiani-CSF-Faizanè, Italy, 55, -94, 9, 5537, 1975, 798, 3641, 3346, 38, 1.75, 63, 0, 34, 15, 39, 19, 7234, 49
641, 2, Arcas Jorge, Movistar Team, Spain, 55, 8, 10, 107, 148, 49, 30, 49, 29, 1.87, 68, 0, 0, 4, 9, 6, 8717, 57
642, -8, Pita Cristian David, Best PC Ecuador, Ecuador, 55, 53, 200, 97, 5, 0, 110, 0, 26,  ,  , 0, 0, 0, 0, 7, 833, 6
643, 1, Owen Logan, EF Education - Nippo, United States, 55, 35, 48, 28, 140, 0, 345, 33, 26, 1.78, 67, 0, 2, 2, 0, 8, 5851, 37
644, 1, Rex Laurenz, Bingoal Pauwels Sauces WB, Belgium, 55, 54, 70, 48, 5, 0, 38, 4, 21, 1.93, 82, 0, 0, 0, 1, 4, 9250, 58
645, 1, Ballerstedt Maurice, Jumbo-Visma Development Team, Germany, 55, 45, 95, 18, 28, 10, 15, 0, 20, 1.87, 74, 2, 0, 0, 0, 2, 3145, 25
646, 1, Marte Jesus Roniel,  , Dominican Republic, 55, 55, 85, 55, 0, 0, 0, 0, 19,  ,  , 0, 0, 0, 0, 1, 1391, 12
647, 1, Terpstra Niki, Team TotalEnergies, Netherlands, 54, 5, 27, 4558, 2397, 1741, 2506, 598, 37, 1.9, 75, 0, 22, 15, 36, 19, 8583, 50
648, 2, Teugels Lennert, Tarteletto - Isorex, Belgium, 54, -2, 77, 147, 61, 1, 180, 51, 28,  ,  , 0, 0, 0, 0, 5, 7579, 48
